State_UT,Males,Females,Total_Population
INDIA,623270258,587584719,1210854977
Uttar Pradesh,104480510,95331831,199812341
Maharashtra,58243056,54131277,112374333
Bihar,54278157,49821295,104099452
West Bengal,46809027,44467002,91276115
Andhra Pradesh,42442126,42138631,84580777
Madhya Pradesh,37612306,35014503,72626809
Tamil Nadu,36137975,36009055,72147030
Rajasthan,35550997,32997440,68548437
Karnataka,30966657,30128640,61095297
Gujarat,31491260,28948432,60439692
Odisha,21212136,20762082,41974218
Kerala,16027412,17378649,33406061
Jharkhand,16930315,16057819,32988134
Assam,15939443,15266033,31205576
Punjab,14639465,13103873,27743338
Chhattisgarh,12832895,12712303,25545198
Haryana,13494734,11856728,25351462
Delhi,8987326,7800615,16787941
Jammu and Kashmir,6640662,5900640,12541302
Uttarakhand,5137773,4948519,10086292
Himachal Pradesh,3481873,3382729,6864602
Tripura,1874376,1799541,3673917
Meghalaya,1491832,1475057,2966889
Manipur,1290171,1280219,2570390
Nagaland,1024649,953853,1978502
Goa,739140,719405,1458545
Arunachal Pradesh,713912,669815,1383727
Puducherry,612511,635466,1247977
Mizoram,555339,541867,1097206
Chandigarh,580663,474787,1055450
Sikkim,323070,287507,610577
Andaman & Nicobar Islands,202871,177710,380581
Dadra & Nagar Haveli,193760,149949,343709
Daman & Diu,150301,92946,243247
Lakshadweep,33123,31350,64473